statnr,datum,RSX
12311,2015020711,0
12311,2015020712,0
12311,2015020713,0
12311,2015020714,0
12311,2015020715,0
12311,2015020716,0
12311,2015020717,0
12311,2015020718,0
12311,2015020719,0
12311,2015020720,0
12311,2015020721,0
12311,2015020722,0
12311,2015020723,0
12311,2015020724,0
12311,2015020801,0
12311,2015020802,0
12311,2015020803,0
12311,2015020804,0
12311,2015020805,0
12311,2015020806,0.1
12311,2015020807,0
12311,2015020808,0
12311,2015020809,0.1
12311,2015020810,0.4
12311,2015020811,0.7
12311,2015020812,0.3
12311,2015020813,1
12311,2015020814,0.9
12311,2015020815,0.5
12311,2015020816,0.9
12311,2015020817,-8888
12311,2015020818,-8888
12311,2015020819,-8888
12311,2015020820,-8888
12311,2015020821,-8888
12311,2015020822,-8888
12311,2015020823,-8888
12311,2015020824,-8888
12311,2015020901,-8888
12311,2015020902,-8888
12311,2015020903,-8888
12311,2015020904,-8888
12311,2015020905,-8888
12311,2015020906,-8888
12311,2015020907,-8888
12311,2015020908,-8888
12311,2015020909,-8888
12311,2015020910,-8888
12311,2015020911,-8888
12311,2015020912,-8888
12311,2015020913,-8888
12311,2015020914,-8888
12311,2015020915,-8888
12311,2015020916,-8888
12311,2015020917,-8888
12311,2015020918,0.4
12311,2015020919,0.2
12311,2015020920,0.1
12311,2015020921,0.1
12311,2015020922,0.1
12311,2015020923,0
12311,2015020924,0
12311,2015021001,0
12311,2015021002,0.3
12311,2015021003,0
12311,2015021004,0
12311,2015021005,0
12311,2015021006,0
12311,2015021007,0
12311,2015021008,0
12311,2015021009,0
12311,2015021010,0
12311,2015021011,0
12311,2015021012,0
12311,2015021013,0
12311,2015021014,0
12311,2015021015,0
12311,2015021016,0
12311,2015021017,0
12311,2015021018,0
12311,2015021019,0
12311,2015021020,0
12311,2015021021,0
12311,2015021022,0
12311,2015021023,0
12311,2015021024,0
12311,2015021101,0
12311,2015021102,0
12311,2015021103,0
12311,2015021104,0
12311,2015021105,0
12311,2015021106,0
12311,2015021107,0
12311,2015021108,0
12311,2015021109,0
12311,2015021110,0
12311,2015021111,0
12311,2015021112,0
12311,2015021113,0
12311,2015021114,0
12311,2015021115,0
12311,2015021116,0
12311,2015021117,0
12311,2015021118,0
12311,2015021119,0
12311,2015021120,0
12311,2015021121,0
12311,2015021122,0
12311,2015021123,0
12311,2015021124,0
12311,2015021201,0
12311,2015021202,0
12311,2015021203,0
12311,2015021204,0
12311,2015021205,0
12311,2015021206,0
12311,2015021207,0
12311,2015021208,0
12311,2015021209,0
12311,2015021210,0
12311,2015021211,0
12311,2015021212,0
12311,2015021213,0
12311,2015021214,0
12311,2015021215,0
12311,2015021216,0
12311,2015021217,0
12311,2015021218,0
12311,2015021219,0
12311,2015021220,0
12311,2015021221,0
12311,2015021222,0
12311,2015021223,0
12311,2015021224,0
12311,2015021301,0
12311,2015021302,0
12311,2015021303,0
12311,2015021304,0
12311,2015021305,0
12311,2015021306,0
12311,2015021307,0
12311,2015021308,0
12311,2015021309,0
12311,2015021310,0
12311,2015021311,0
12311,2015021312,0
12311,2015021313,0
12311,2015021314,0
12311,2015021315,0
12311,2015021316,0
12311,2015021317,0
12311,2015021318,0
12311,2015021319,0
12311,2015021320,0
12311,2015021321,0
12311,2015021322,0
12311,2015021323,0
12311,2015021324,0
12311,2015021401,0
12311,2015021402,0
12311,2015021403,0
12311,2015021404,0
12311,2015021405,0
12311,2015021406,0
12311,2015021407,0
12311,2015021408,0
12311,2015021409,0
12311,2015021410,0
12311,2015021411,0
12311,2015021412,0
12311,2015021413,0
12311,2015021414,0
12311,2015021415,0
12311,2015021416,0
12311,2015021417,0
12311,2015021418,0
12311,2015021419,0
12311,2015021420,0
12311,2015021421,0
12311,2015021422,0
12311,2015021423,0
12311,2015021424,0
12311,2015021501,0
12311,2015021502,0
12311,2015021503,0
12311,2015021504,0
12311,2015021505,0
12311,2015021506,0
12311,2015021507,0
12311,2015021508,0
12311,2015021509,0
12311,2015021510,0
12311,2015021511,0
12311,2015021512,0
12311,2015021513,0
12311,2015021514,0
12311,2015021515,0
12311,2015021516,0
12311,2015021517,0
12311,2015021518,0
12311,2015021519,0
12311,2015021520,0
12311,2015021521,0
12311,2015021522,0
12311,2015021523,0
12311,2015021524,0
12311,2015021601,0
12311,2015021602,0
12311,2015021603,0
12311,2015021604,0
12311,2015021605,0
12311,2015021606,0
12311,2015021607,0
12311,2015021608,0
12311,2015021609,0
12311,2015021610,0
12311,2015021611,0
12311,2015021612,0
12311,2015021613,0
12311,2015021614,0
12311,2015021615,0
12311,2015021616,0
12311,2015021617,0
12311,2015021618,0
12311,2015021619,0
12311,2015021620,0
12311,2015021621,0
12311,2015021622,0
12311,2015021623,0
12311,2015021624,0
12311,2015021701,0
12311,2015021702,0
12311,2015021703,0
12311,2015021704,0
12311,2015021705,0
12311,2015021706,0
12311,2015021707,0
12311,2015021708,0
12311,2015021709,0
12311,2015021710,0
12311,2015021711,0
12311,2015021712,0
12311,2015021713,0
12311,2015021714,0
